Name,Status,Location,Price,Stars,Ratings,Link
Lenovo ThinkPad X1 Carbon 2Gen i5 4300U 8GB 128GB SSD HD + Fingerpr TB WWAN Win10,Pre-Owned,From Germany,"7,288.23 CZK",0,0,https://www.ebay.com/itm/Lenovo-ThinkPad-X1-Carbon-2Gen-i5-4300U-8GB-128GB-SSD-HD-Fingerpr-TB-WWAN-Win10/233505189222?_trkparms=ispr%3D1&hash=item365dfe6d66:g:EGUAAOSwpfpeU9ag&enc=AQAEAAACQBPxNw%2BVj6nta7CKEs3N0qXBY5k4F3IzraCb3ldJhRXRVemo02TH7fa51VxBhvDI5qoHQhRqcaBKTuieuHDXoOk5DTeqZu1%2FwdX4Oha4EBE9m4B8ExK5wpX%2BUe5WQ0kBDmMgfZYbUBhgxzOxFBRiaAG%2BV1CxCJcOs%2Bs6W%2FxwYveLB%2BAU3mPJ%2FBQCxeimbBs80JHrc1TpBmDGCN0S50%2Fk7xujus4JsKNRVFdWu%2FxpdnFeEtvVih5LVFhJQYFvZEIvs9glRlx1AnOZ3DkdrxS78nMxTY8Gr1g5gqelWeWIvuVGAVGX0TUlsRThc3QWMdHJjmtBtXjmqCij0skcSSCyDDpYBfHpxnJV0ZyBjuHEZGcfk%2BU9ZGhpwOJ2qouluZPfqK%2F67JBE0cTNLHBeANorq1NqmBgHpn2RBnLRkbOX3JsLFiIuTForyk6UAP2e%2F%2Fo0p4qccLCRbA474LTwtf3zIFturZcUiOAGETYCPelSOHYuI5UE5XN4ds3N%2FfnV1%2FIiXj1JTesY9L8rDgxtz904RegI0IdPw5trXBWbUfjaRLb%2Bhbp7bI%2FCHvZxvIQ49%2BXqm1ncvQktR8iAiR5u7pgYu1KwUWQf%2FngMGf2vFx%2BgZt59P81UFHEUE4mkXOlN%2FT5DaIkjS%2F3rRkGqHzIWa1x%2B%2FLUlDgnXTph0FPb9zkSBnVwv9pSh5nYGryl2AnqCpe7EDsbQM2nLLnqWP1Bf5RVf0R%2Fcl1689VRrOS79vY9D2O4EXaOi0XU814o20KDwj39gOg%3D%3D&checksum=2335051892220fdf6c09e424460a8703411c2d68d0dc
"Lenovo ThinkPad X1 Yoga 1st. Convertible i5-6300U 2,4GHz 8GB 180GB Touch =",Pre-Owned,From Germany,"4,589.82 CZK",Tim,0,https://www.ebay.com/itm/Lenovo-Thinkpad-X1-Yoga-1st-Convertible-i5-6300U-2-4GHz-8GB-180GB-Touch/233505215654?hash=item365dfed4a6:g:wboAAOSwsjVeHab-
Lenovo ThinkPad X1 Carbon 4th Intel i5 6300U 8GB RAM 180 GB SSD WQHD B Ware,Pre-Owned,From Germany,"9,504.96 CZK",0,0,https://www.ebay.com/itm/LENOVO-ThinkPad-X1-Carbon-4th-Intel-i5-6300U-8GB-Ram-180-GB-SSD-WQHD-B-Ware/133326429577?hash=item1f0adfdd89:g:aAgAAOSwyR1eSqA0
Lenovo ThinkPad X1 Carbon Gen 3 Intel i7-5600 16GB RAM 256GB SSD WQHD 2560X1440,Refurbished,From United States,"9,261.62 CZK",0,0,https://www.ebay.com/itm/Lenovo-ThinkPad-X1-Carbon-Gen-3-Intel-i7-5600-16GB-RAM-256GB-SSD-WQHD-2560X1440/133328058430?_trkparms=ispr%3D1&hash=item1f0af8b83e:g:L6IAAOSwsbhdnali&enc=AQAEAAACQBPxNw%2BVj6nta7CKEs3N0qVdamGH4w%2BqXLMI0VGtImwpX8VMBryOODxZn3jnlXWDYk6iLqU7HRFamqigEvF9K2Do53m%2FA6nIYIcDoPiDmQydOtL6oCpxPr7Bs6EL3D53%2BdWf1uA4Ypj44jCV1IS%2FJfe6h9J9spLfwhynoqWKAj%2FtqRtDFG9IYrPYiJsjJoPjgLCPzcC8OtyaZKkWS50bnoJb%2Fb5DXBHL0sqojbNUFm3GxjEXGKgMalFAhakSGM8zfCYoOz2ketPp2P8QTdoFhUgBHbpZGQ%2F8NevkZiYag8hPGaLKFBeQt2565W%2B%2ByE3CfWVp%2BjnLFegnkpM6WJylwCRVjk%2FaPUCg5VhRx0nii4fEVypycPnN1r66%2FrT1lbkiItffV%2FoEX8DB6iBQQkU09qWK9scFHSKs1yeln3PBAns943v8reJxZoEu2v3U85ukx2Q0hovzbR%2Bziz86V%2FqPNEzhuPWwcw%2BQnVKFLwzOBKFyYZ3gwDG9KDI211SSgpq7gxFnE87Cm4xfBwhPK%2FK7iGu%2FJc9XzorWNxhSxq90tzU%2B4pYN%2FH343GJ32dCgCtjzJNUf0%2F7DBvVcZMBLYpTZY3EOGsfysGNu06ZNJyXiilIs3IkvdtcvHEG%2BeD6oGE%2BwW4rBooQxLUoFXIKQul9MyNBD46HlGmb0GLjy%2FxOgauZ8OlfAOyw7vFPoXftKpQEwi6%2FMbw%2BvPoRfqu%2BJRqpotE7navr%2BNjAaZIMT5WtXygcWEfLvOv4Ux9sDNAn7x2MBbg%3D%3D&checksum=1333280584300fdf6c09e424460a8703411c2d68d0dc
Lenovo ThinkPad X1 Carbon 3.Gen Touch Core i7-5600U 8Gb 128Gb SSD 2560x1440 B,Pre-Owned,From Germany,"8,568.58 CZK",0,0,https://www.ebay.com/itm/Lenovo-ThinkPad-Carbon-X1-3-Gen-TOUCH-Core-i7-5600U-8Gb-128Gb-SSD-2560x1440-B/153815152596?hash=item23d018f7d4:g:nycAAOSwqNJc2txr
Lenovo ThinkPad X1 Carbon 5th Gen Core i7 7600U 3.9GHz 16GB 1TB SSD  Win 10 Pro ,Pre-Owned,From United States,"9,168.78 CZK",Tim,0,https://www.ebay.com/itm/Lenovo-ThinkPad-X1-Carbon-5th-Gen-Core-i7-7600U-3-9GHz-16GB-1TB-SSD-Win-10-Pro/143541503665?hash=item216bbd86b1:g:yUUAAOSwAa1eVc-8
"Lenovo X1 Carbon 5th Gen,Model 0021UK,12 months Lenovo Warrenty (On Site).",Refurbished,From United Kingdom,"14,502.17 CZK",0,0,https://www.ebay.com/itm/Lenovo-X1-Carbon-5th-Gen-Model-0021UK-12-months-Lenovo-Warrenty-On-Site/293491998781?hash=item44557c803d:g:AroAAOSwwJ1eCmDf
LENOVO X1 CARBON 3RD GEN i7-5600U 2.6GHz 8GB 256 SSD 2560 x 1440(Non-Touch),Pre-Owned,From United States,"2,181.94 CZK",Tim,0,https://www.ebay.com/itm/LENOVO-X1-CARBON-3RD-GEN-i7-5600U-2-6GHz-8GB-256-SSD-2560-x-1440-Non-Touch/264645275961?hash=item3d9e167139:g:L0AAAOSwwStcdgNv
Lenovo ThinkPad X1 Carbon (4.Gen) Intel i7-6600U 16GB RAM is 512GB SSD WQHD LTE,Refurbished,From Germany,"23,176.05 CZK",0,0,https://www.ebay.com/itm/Lenovo-ThinkPad-X1-Carbon-4-Gen-Intel-i7-6600U-16GB-RAM-512GB-SSD-WQHD-LTE/283795486865?hash=item4213877891:g:R1MAAOSwYSFdm2Dt
 Lenovo ThinkPad X1 Carbon 3rd Gen i5-5300U 256GB SSD 8GB 1080P FHD BT FPR Win10,Refurbished,From United States,"6,847.57 CZK",4.5,0,https://www.ebay.com/itm/Lenovo-ThinkPad-X1-Carbon-3rd-Gen-i5-5300U-256GB-SSD-8GB-1080P-FHD-BT-FPR-Win10/124094827892?epid=20031092292&hash=item1ce4a0cd74:g:BXEAAOSwBF5eUtrT
"Lenovo Thinkpad X1 Carbon 6th Gen i5-8350U 8th Gen, Ram 16gb, 256 SSD",Pre-Owned,From United States,"15,018.22 CZK",Tim,0,https://www.ebay.com/itm/Lenovo-Thinkpad-X1-Carbon-6th-Gen-i5-8350U-8th-Gen-Ram-16gb-256-SSD/254520464474?hash=item3b429a145a:g:9ZoAAOSw-0BeUcEt
Lenovo ThinkPad X1 Carbon 2nd Gen Touch i7-4600U 256GB M.2 8GB (CR) CL,Pre-Owned,From United States,"5,279.59 CZK",Pre,0,https://www.ebay.com/itm/Lenovo-ThinkPad-X1-Carbon-2nd-Gen-Touch-i7-4600U-256GB-M-2-8GB-CR-CL/193343665795?hash=item2d042e3683:g:f0QAAOSwrj9eRauE
Lenovo X1 Carbon 4th Gen i5-6200U 2.30GHz 8GB 256GB SSD PCle Win 10,Refurbished,From United States,"6,940.41 CZK",5.0,0,https://www.ebay.com/itm/Lenovo-X1-Carbon-4th-Gen-i5-6200U-2-30GHz-8GB-256GB-SSD-PCle-Win-10/153843921694?epid=1163102884&hash=item23d1cff31e:g:uvYAAOSw18NeBOjS
Lenovo ThinkPad X1 Carbon 7.Gen 14 Inch Intel Core i7 7. Gen 256GB SSD,Pre-Owned,From Germany,"7,590.85 CZK",Tim,0,https://www.ebay.com/itm/Lenovo-ThinkPad-X1-Carbon-7-Gen-14-Zoll-Intel-Core-i7-7-Gen-256GB-SSD/283794563327?hash=item42137960ff:g:twkAAOSwDIJeVC4Y
Lenovo ThinkPad X1 Carbon 2 Gen i5 4300U 8GB 180GB SSD 1600x900 HD + Fingerpr. K,Pre-Owned,From Germany,"6,279.47 CZK",0,0,https://www.ebay.com/itm/Lenovo-ThinkPad-X1-Carbon-2-Gen-i5-4300U-8GB-180GB-SSD-1600x900-HD-Fingerpr-k/313008970308?_trkparms=ispr%3D1&hash=item48e0c9da44:g:bfEAAOSwATRdie4z&enc=AQAEAAACQBPxNw%2BVj6nta7CKEs3N0qXFOxwiQ6odO%2B%2Fn11QOOnOvhxrfR1viZYG4panr2w1PmAFDVqKA1BQf7r4s293srUq%2BDsnXTmzG9kBMlbuDzN6nVWia8fLKtNONUsNZ8grZmH3Gh2GfSv1ycvQdtYbcyYXgW%2F8Osc3YJYFl%2FVOlMfHnNiO1T2vAv%2BfbD9MOcU39DwbbRJKo4hNQDnPdj1bym%2BoYseEUH%2FRbFxKxsuQXZmgIXhN7zrCAvAlnjaClv1JPDTWLgea0aPC2h1UWUprcehezT%2BwcSxz7E59wtWRQuGN5HFW%2BW0%2FwXUgq5LUzhfiD3w2OzfludEUCW3Cdl5pUAv4J7c0pTTS32a5K1FtMbtN9uZgaTcNdxoOf6yYWKENou3%2FqsjcP%2FexlkaxuPSVoNH0jwAfP%2Bp4fVi7xLOkRDL7bP%2BlB94MGcokL7BkifHdhh2FTMBkzMxoyrXs2UCRA9GCmSaUm7%2FCO50QGaejV7UNKzu1e7XdHxzswFHbCZrx9OI44h4PhtIw0uQJkOT4T6UYtvjTBy98Sh0ujrCu16L%2Ffk9HOKGc2gn3nyxAyoVoUVmXLoA9OEKj2NJAdbf%2BbXpCFXp4JOModmtTw0LDeTz2xBcrJX5fMOvvTkb5b9UoYzV5yCuCW%2Fk436iutnsjRvUQrKrfGtNgNwBfr4X4BeAcnhumLN1WWE6cUL5I5%2F0sDeCNJAwyUscjEZF%2FnF%2FzTONKwoDROK0XK7BloZPe%2BhdtSG%2Fu743LawnJ5PhI%2BYfq1GQ%3D%3D&checksum=3130089703080fdf6c09e424460a8703411c2d68d0dc
