,Name,Status,Location,Price,Stars,Ratings,Link
238,  x1 carbon 8GB 240   Full HD matte Panel  - Perfect order,Pre-Owned,From Greece,15761.01,0,0,https://www.ebay.com/itm/Lenovo-Thinkpad-x1-carbon-8GB-240-SSD-Full-HD-matte-Panel-Perfect-order/114118290180?hash=item1a91faeb04:g:E2MAAOSwvjNeIik9
993,  X1 Carbon 4th Gen w/ 2 yr MFG Depot Warranty,New (Other),From Canada,15724.57,0,0,https://www.ebay.com/itm/Lenovo-ThinkPad-X1-Carbon-4th-Gen-w-2-yr-MFG-Depot-Warranty/163934031861?hash=item262b3acff5:g:4UQAAOSwpBddlUTs
1362,MISSING  x1 carbon   ,Pre-Owned,From Australia,15331.58,0,0,https://www.ebay.com/itm/MISSING-Lenovo-x1-carbon-thinkpad-laptop/123861774940?hash=item1cd6bcb25c:g:XPAAAOSwS8tdRMOg
1193,MISSING  x1 carbon   ,Pre-Owned,From Australia,15331.58,0,0,https://www.ebay.com/itm/MISSING-Lenovo-x1-carbon-thinkpad-laptop/123861774940?hash=item1cd6bcb25c:g:XPAAAOSwS8tdRMOg
57,  X1 Carbon 6th Gen i5-8350U 8GB RAM 256GB   ,Pre-Owned,From United States,15087.86,Tim,0,https://www.ebay.com/itm/Lenovo-ThinkPad-X1-Carbon-6th-Gen-i5-8350U-8GB-RAM-256GB-SSD-Ultrabook-Win10/193358606579?epid=19032783380&hash=item2d051230f3:g:KiIAAOSwCbJeVTj5
348,  X1 Carbon G3 14 QHD touch i7 8GB 512GB  win8 pro LTE finger,Refurbished,From United States,15087.86,0,0,https://www.ebay.com/itm/Lenovo-Thinkpad-X1-Carbon-G3-14-QHD-touch-i7-8GB-512GB-SSD-win8-pro-LTE-finger/114011024848?hash=item1a8b962dd0:g:19YAAOSwHX5d8Xgq
1074,LENOVO  Carbon X1  5th Gen  i7-7500U   256GB  8GB RAM,Pre-Owned,From United Kingdom,15076.21,0,0,https://www.ebay.com/itm/LENOVO-ThinkPad-Carbon-X1-5th-Gen-i7-7500U-256GB-SSD-8GB-RAM/193353039337?hash=item2d04bd3de9:g:64YAAOSw~QVeS8dE
1244,LENOVO  Carbon X1  5th Gen  i7-7500U   256GB  8GB RAM,Pre-Owned,From United Kingdom,15076.21,0,0,https://www.ebay.com/itm/LENOVO-ThinkPad-Carbon-X1-5th-Gen-i7-7500U-256GB-SSD-8GB-RAM/193353039337?hash=item2d04bd3de9:g:64YAAOSw~QVeS8dE
491, x1 carbon i5 ,Pre-Owned,From United Kingdom,15076.21,0,0,https://www.ebay.com/itm/Lenovo-x1-carbon-i5/174194797251?hash=item288ed1aac3:g:wQQAAOSwBdBc0F03
10,"  X1 Carbon 6th Gen i5-8350U 8th Gen, Ram 16gb, 256 ",Pre-Owned,From United States,15018.22,Tim,0,https://www.ebay.com/itm/Lenovo-Thinkpad-X1-Carbon-6th-Gen-i5-8350U-8th-Gen-Ram-16gb-256-SSD/254520464474?hash=item3b429a145a:g:9ZoAAOSw-0BeUcEt
326,  X1 Carbon 4th Gen i7 2.60Ghz 16GB 512GB  Win 10 Pro - A Grade,Pre-Owned,From United States,14507.56,4.5,0,https://www.ebay.com/itm/Lenovo-Thinkpad-X1-Carbon-4th-Gen-i7-2-60Ghz-16GB-512GB-SSD-Win-10-Pro-A-Grade/143541410604?epid=20031092292&hash=item216bbc1b2c:g:SNIAAOSw8OteRdK-
6," X1 Carbon 5th Gen, 0021UK,12 months  Warrenty (On Site).",Refurbished,From United Kingdom,14502.17,0,0,https://www.ebay.com/itm/Lenovo-X1-Carbon-5th-Gen-Model-0021UK-12-months-Lenovo-Warrenty-On-Site/293491998781?hash=item44557c803d:g:AroAAOSwwJ1eCmDf
1130,"   carbon x1  (4 gb, 1,80ghz, 180 gb",Brand New,From France,14500.8,Ord,0,https://www.ebay.com/itm/Ordinateur-portable-Lenovo-ThinkPad-Carbon-X1-14-1-4-Go-1-80GHz-180-Go/352975910768?epid=19034590419&hash=item522f00f770:g:XwwAAOSwWk1eTGBw
1298,"   carbon x1  (4 gb, 1,80ghz, 180 gb",Brand New,From France,14500.8,Ord,0,https://www.ebay.com/itm/Ordinateur-portable-Lenovo-ThinkPad-Carbon-X1-14-1-4-Go-1-80GHz-180-Go/352975910768?epid=19034590419&hash=item522f00f770:g:XwwAAOSwWk1eTGBw
934,  X1 Carbon 6th Generation i5-8250U 8GB 256GB  Black,Pre-Owned,From United States,13927.02,0,0,https://www.ebay.com/itm/Lenovo-ThinkPad-X1-Carbon-6th-Generation-i5-8250U-8GB-256GB-SSD-Black/202863930014?epid=0&hash=item2f3ba1ea9e:g:ReEAAOSw9tFdzvca
492,New Genuine   X1 Carbon 256GB  04X4482,Brand New,From United States,13926.09,0,0,https://www.ebay.com/itm/New-Genuine-Lenovo-ThinkPad-X1-Carbon-256GB-SSD-04X4482/182441178003?hash=item2a7a577393:g:c6cAAOSwPCVX5Y7M
355,New Genuine   X1 Carbon 256GB  00JT058,Brand New,From United States,13926.09,0,0,https://www.ebay.com/itm/New-Genuine-Lenovo-ThinkPad-X1-Carbon-256GB-SSD-00JT058/182291044691?hash=item2a71649953:g:c6cAAOSwPCVX5Y7M
576,New Genuine   X1 Carbon 256GB  00UP458,Brand New,From United States,13926.09,0,0,https://www.ebay.com/itm/New-Genuine-Lenovo-ThinkPad-X1-Carbon-256GB-SSD-00UP458/201803115309?hash=item2efc672b2d:g:c6cAAOSwPCVX5Y7M
646,New Genuine   X1 Carbon 256GB  04X4450,Brand New,From United States,13926.09,0,0,https://www.ebay.com/itm/New-Genuine-Lenovo-ThinkPad-X1-Carbon-256GB-SSD-04X4450/172241557971?hash=item281a6599d3:g:Y7AAAOSwMNxXYG6U
